n_layers_2.0,n_layers_2.0.1,n_layers_1.0,n_layers_2.0.2,n_layers_3.0,n_layers_1.0.1,n_layers_2.0.3,n_layers_3.0.1,n_layers_4.0
2.267378845214844,2.2747430419921875,2.2987037658691407,2.347909393310547,2.567133483886719,2.285572967529297,2.3745993041992186,2.6925775146484376,2.817301940917969
2.259818267822266,2.2435243225097654,2.310260467529297,2.3247502136230467,2.540094604492188,2.243061828613281,2.382360229492188,2.671803283691406,2.7926730346679687
2.255038604736328,2.236473388671875,2.2753936767578127,2.29715087890625,2.523103942871094,2.2699497985839843,2.3559310913085936,2.629332885742188,2.783525390625
2.2486729431152344,2.236077880859375,2.248869018554688,2.302366027832031,2.4627590942382813,2.246668548583985,2.3290725708007813,2.6158352661132813,2.763686218261719
2.240941925048828,2.238189392089844,2.256253204345703,2.26890380859375,2.473023681640625,2.2546044921875,2.3116493225097656,2.597386779785156,2.7442672729492186
2.2132554626464844,2.213609466552734,2.237779541015625,2.2582463073730468,2.439977722167969,2.223036193847656,2.297579498291016,2.566458740234375,2.7167218017578123
2.211681060791016,2.1742564392089845,2.2237054443359376,2.251572265625,2.4481396484375,2.1884568786621093,2.273245849609375,2.569767761230469,2.7053912353515623
2.187563934326172,2.201271209716797,2.1969256591796875,2.236711883544922,2.423536834716797,2.219658203125,2.2970396423339845,2.5244996643066404,2.697838134765625
2.176678466796875,2.170722351074218,2.207787475585937,2.234350128173828,2.4232669067382813,2.193163299560547,2.254060821533203,2.517747497558594,2.6769369506835936
2.1662060546875,2.1721452331542968,2.180775451660156,2.205638122558594,2.4031167602539063,2.176417236328125,2.251409606933594,2.5112950134277345,2.6469354248046875
2.172955322265625,2.165569000244141,2.183695068359375,2.1962892150878908,2.376628723144531,2.1721791076660155,2.253767547607422,2.491632843017578,2.6326809692382813
2.169244079589844,2.1442216491699218,2.1795201110839844,2.1872198486328127,2.3607110595703125,2.159557037353516,2.208779754638672,2.4859825134277345,2.619163818359375
2.1487261962890627,2.1336083984375,2.153513488769532,2.1763319396972656,2.3550927734375,2.1569142150878906,2.2064700317382813,2.450805511474609,2.5991375732421873
2.124535675048828,2.1430088806152345,2.1341709899902344,2.148002777099609,2.341587829589844,2.122176055908203,2.2065907287597657,2.447702178955078,2.58876953125
2.113664398193359,2.132384643554688,2.1403330993652343,2.141549072265625,2.333272399902344,2.1371119689941405,2.1923701477050783,2.4391438293457037,2.5585340881347656
2.122334747314453,2.112346954345703,2.142817077636719,2.1403704833984376,2.3253221130371093,2.122141418457032,2.1814726257324217,2.435352478027344,2.5634951782226563
2.116105499267578,2.11797119140625,2.1174281311035155,2.114693450927734,2.2926788330078125,2.10125732421875,2.198445129394531,2.430602264404297,2.542794647216797
2.1094094848632814,2.0997160339355467,2.1066697692871093,2.1140513610839844,2.2937301635742187,2.0928016662597657,2.161046752929688,2.3753816223144533,2.5418768310546875
