learning_rate_0.005,learning_rate_0.01,learning_rate_0.05,learning_rate_0.1
2.132688751220704,1.9284107971191409,2.304952545166016,2.444724273681641
2.0999012756347657,1.883957977294922,2.2934230041503905,2.4481640625
2.09426498413086,1.8750767517089844,2.2973297119140623,2.4285841369628907
2.076599578857422,1.909102020263672,2.2760769653320314,2.4286228942871095
2.0880735778808592,1.853375244140625,2.3045936584472657,2.431657257080078
2.081954498291016,1.855441284179688,2.252937469482422,2.4392950439453127
2.0725802612304687,1.8690724182128904,2.296747131347656,2.427205810546875
2.058993225097656,1.851154479980469,2.277843475341797,2.426878662109375
2.039668884277344,1.843693237304688,2.276001434326172,2.4364193725585936
2.0384629821777343,1.8696832275390625,2.2430076599121094,2.4252803039550783
2.022366180419922,1.831927032470703,2.2497653198242187,2.419636077880859
2.041407623291016,1.8233322143554689,2.2812991333007813,2.4326908874511717
2.0255499267578125,1.8351583862304688,2.245626373291016,2.385084686279297
2.007847442626953,1.8250619506835937,2.245405578613281,2.40826416015625
2.022030487060547,1.840419158935547,2.239313201904297,2.407728576660156
1.999962768554688,1.8153379821777345,2.2216827392578127,2.4004385375976565
2.030306701660156,1.8029405212402343,2.251507568359375,2.4269953918457032
2.015986328125,1.8005116271972657,2.238501434326172,2.371102600097656
1.9955499267578125,1.7778884887695312,2.217528533935547,2.381061553955078
1.9997831726074216,1.8065699768066408,2.2412969970703127,2.379070129394531
1.9866416931152344,1.7925364685058591,2.206784515380859,2.3684423828125
1.9797390747070311,1.820933990478516,2.2247862243652343,2.359416198730469
1.97531005859375,1.811056518554688,2.211194152832032,2.34658935546875
1.9497216796875,1.802116088867188,2.218549194335937,2.367886962890625
1.9828030395507807,1.8004458618164063,2.212752227783203,2.3833348083496095
1.9610781860351565,1.79116943359375,2.2045779418945317,2.353759460449219
1.949947662353516,1.7617355346679688,2.200450134277344,2.3558753967285155
1.950816345214844,1.7704397583007812,2.189977722167969,2.337203369140625
1.9230447387695315,1.760655059814453,2.171320190429688,2.3464068603515624
1.9262687683105468,1.76174560546875,2.207408447265625,2.3533233642578124
1.945976104736328,1.758786163330078,2.1910969543457037,2.3081549072265624
1.9152818298339844,1.7586892700195311,2.193956909179688,2.3622781372070314
1.9248625183105468,1.7675390625,2.208614501953125,2.36158935546875
1.94428466796875,1.749323272705078,2.182109527587891,2.341025543212891
1.9183274841308595,1.7452369689941407,2.2012791442871094,2.3660234069824218
1.92125244140625,1.7704460144042968,2.166786804199219,2.331389923095703
1.8855316162109368,1.7483578491210938,2.1537884521484374,2.344125061035156
1.9299394226074216,1.7587814331054688,2.1961888122558597,2.3421246337890627
1.863023223876953,1.7377729797363282,2.183826904296875,2.3739178466796873
1.8924197387695312,1.716221160888672,2.158117218017578,2.3309735107421874
1.9127302551269527,1.7090704345703125,2.1706193542480468,2.3292755126953124
1.907659912109375,1.7311225891113282,2.192183837890625,2.359052276611328
1.8886320495605469,1.7421917724609377,2.175043487548828,2.3484646606445314
1.895901641845703,1.715210418701172,2.1708779907226563,2.3304119873046876
1.861040802001953,1.7203807067871093,2.1903086853027345,2.3379780578613283
1.872422332763672,1.7272802734375,2.1666691589355467,2.316368408203125
